,non-binary-agriculture,non-binary-beverages,non-binary-energy,non-binary-food,non-binary-metals-minerals,non-binary-non-energy,non-binary-precious-metals,non-binary-raw-materials
sup12_buy,0.0214957531315138,0.0238164698362245,0.0225354092186518,0.0232750164056287,0.0232695781717225,0.0212720382575485,0.0251669276434848,0.0211696571201969
sup12_sell,0.0228364599031101,0.0222916993194787,0.0239313421757798,0.0234733223367429,0.0305602911002599,0.0238735513492487,0.0203105591892832,0.0218994257066999
sup3_buy,0.0402954824398113,0.0287656597651142,0.0267006312879906,0.0283052753804888,0.0232270090460797,0.027218931544373,0.0307993956666123,0.0266036423567968
sup3_sell,0.0305905093983954,0.0251353566161665,0.0270497396549697,0.0275598209338659,0.027642567594154,0.0292576192946651,0.024540411551551,0.0338098199040092
sup6_buy,0.0225742309626307,0.0259497056252447,0.0228137450100836,0.0252619280889199,0.0264398936106225,0.0224311813967105,0.0280876555023056,0.0180734550206329
sup6_sell,0.0212445271224616,0.0193003416603637,0.0247300774882006,0.0204943128503295,0.0232358003719829,0.0294289981377382,0.0193206468450882,0.0262276745464195
sup9_buy,0.0192025088833682,0.0218080180839743,0.0201507695106542,0.022304775907477,0.020680816047226,0.0193439157723317,0.0214107422806131,0.0168182750132655
sup9_sell,0.0206342206774995,0.0226949313216694,0.0204333162677917,0.0235368307448457,0.0239899140745215,0.0191342965617296,0.0196456447232136,0.0188078476955337
flt12_buy,0.0228438538469689,0.0219262558611552,0.0234414430739993,0.0236141847772742,0.0301387088803165,0.0229252867017677,0.0204067437300882,0.0212078395169121
flt12_sell,0.0222854828049104,0.0244681490955166,0.0231611999462782,0.0240222144482782,0.023900924433527,0.0218806722426172,0.0257757249174641,0.021472777383873
flt1_buy,0.0349680384546033,0.0307476130959474,0.039901357815613,0.0397864781324218,0.0293716246671133,0.0443269627932048,0.0272573130523612,0.0607889340697761
flt3_buy,0.0307553824537096,0.0264471203187129,0.0269801967992334,0.0278457535271685,0.0285218421929958,0.0296178938958246,0.0248470251017439,0.0347655467232128
flt3_sell,0.0353713744822445,0.0269183905674328,0.0260391721104381,0.0271713923459508,0.0220324937430963,0.0268070304701898,0.0288217512209727,0.0243995849182484
flt6_buy,0.0212704593582412,0.0189999131689933,0.0257013553979954,0.0210840135222907,0.0250561090768965,0.0309526602577842,0.0194692541557234,0.0262019160765974
flt6_sell,0.0213057174504868,0.0263027062003758,0.0231430884166632,0.0246088619870516,0.0265596007820227,0.0225294022654334,0.0277081809511718,0.0169172190241839
flt9_buy,0.0202737395559182,0.0217372090706358,0.0203625156852863,0.0236783834167309,0.0230131997670982,0.0189402537146103,0.0194754055944396,0.0191295711823581
flt9_sell,0.0185002908974239,0.0211247977426628,0.0197016123852876,0.0213295494778066,0.0200486898215571,0.0193052337060958,0.0206651194724284,0.0163327042848427
mom1,0.0332005770715623,0.0296154786793726,0.0394991214000086,0.0384170239029759,0.026816432333485,0.0442458225205638,0.0275948906692874,0.0569833461125991
mom12,0.0325228468228424,0.0305959008208966,0.0284355887750924,0.0266901342446549,0.0280280410873389,0.0275042619054579,0.0337978149203496,0.0271992592338963
mom3,0.045767474757983,0.0242261725952677,0.0266860804716779,0.0288116137299696,0.0301744519659156,0.0271390738765591,0.0314005230729498,0.025656219321408
mom6,0.0273790994560516,0.0305865196787967,0.0278997311863195,0.0245256552459654,0.033997146488717,0.027647275790747,0.0293450572722426,0.028344770268429
mom9,0.0270714682268073,0.0281973683610864,0.0263998742489984,0.0247132431621316,0.0251533066735532,0.0259148430387003,0.0249698826740745,0.0243195219674471
mva1_12,0.0210561429038941,0.0213188503341779,0.0207067684536431,0.0214736916777337,0.027000507227431,0.0207823081550145,0.0184736885074905,0.02323493457978
mva1_3,0.0394183485947146,0.0326815998603703,0.0392532080990909,0.0320723461190939,0.0301285338464892,0.0422496033687507,0.0284529705867216,0.0409721043701809
mva1_6,0.0277654981529766,0.0255908500063317,0.0269660478837054,0.0345898486879231,0.0346649122158838,0.0272365064991664,0.0337491943319151,0.0229604113936898
mva1_9,0.0202798177325783,0.0234525609417301,0.0227353428397282,0.023234542854367,0.0276607914130456,0.0215304658586644,0.0201814076867619,0.0163647046920601
mva3_12,0.0228218588681071,0.0278033636229507,0.0268357225247967,0.0232886223553296,0.0259979271157832,0.0265122605942642,0.0332383307798515,0.0229483042867592
mva3_6,0.0282108309642312,0.0359444656089053,0.0322686031494742,0.0339305554449321,0.0345284872477173,0.0315877713442746,0.040855416501697,0.0263411969022895
mva3_9,0.0291301599356594,0.0350699515866773,0.0268772753190173,0.0275815033995923,0.0312989327935758,0.0242410483719136,0.0288506332466458,0.0235206828756938
mva6_12,0.0281027583526908,0.0321675543347446,0.0292695225860139,0.0311985298417822,0.0277442482372026,0.0270083103093645,0.0305163587569539,0.0396278429010049
mva6_9,0.0312521135358844,0.0326057786917383,0.0382365775296685,0.0328687300577148,0.0287762979551218,0.0363716071267778,0.0360014231543333,0.0517871514235269
mva9_12,0.0362838707761017,0.0327724711966467,0.0311696356669847,0.0296574858832043,0.032925715811053,0.0295340303683863,0.0311847277728004,0.0281464297946209
osc12_5,0.0321948385476772,0.0337194780522293,0.0380055316379575,0.0347210586472889,0.0333289627156015,0.0401406452268862,0.0405867537293747,0.034472392039869
osc1_5,0.0017047926366403,0.0016220495937666,0.0015314715048172,0.0028750789128454,0.0012097935513664,0.0016019434194617,0.001527564340843,0.0024903444654855
osc3_5,0.0216336906597932,0.0288582235859558,0.0277943826315202,0.0235836930489315,0.0181667392704085,0.0267223047522093,0.0312891924044361,0.0198566195296803
osc6_5,0.0342851090833769,0.0485621546503263,0.0379087874468564,0.0391048869765122,0.0399696770383282,0.0331903354901606,0.0419502882605925,0.030000110568088
osc9_5,0.0334706710971264,0.036174870448357,0.0347437543997089,0.0393096415237765,0.0347400316307864,0.0295936536208005,0.0323253797321304,0.0301477627299297
